"CtMean","Sample","Target","Genotype","TargGroup","SampleGroup","dCt","ddCt","RQ"
27.2702960968018,"HETF","actb","HET",1,1,0,0,1
27.6224937438965,"HETM","actb","HET",1,1,0,0,1
27.6191158294678,"KOF","actb","KO",1,2,0,0,1
27.6410369873047,"KOM","actb","KO",1,2,0,0,1
28.1099395751953,"WTF","actb","WT",1,3,0,0,1
27.4693832397461,"WTM","actb","WT",1,3,0,0,1
18.3728332519531,"HETF","fabp7","HET",2,1,-8.8974628448487,0.332662582397397,0.794069626267356
20.0839138031006,"HETM","fabp7","HET",2,1,-7.5385799407959,0.331487655639702,0.794716577725304
19.7847366333008,"KOF","fabp7","KO",2,2,-7.834379196167,1.3957462310791,0.380048058375283
19.373908996582,"KOM","fabp7","KO",2,2,-8.2671279907227,-0.397060394287102,1.31682204588088
18.8798141479492,"WTF","fabp7","WT",2,3,-9.2301254272461,0,1
19.5993156433105,"WTM","fabp7","WT",2,3,-7.8700675964356,0,1
29.8440933227539,"HETF","gjb6","HET",3,1,2.5737972259521,0.121282577514599,0.919369953537949
30.0912914276123,"HETM","gjb6","HET",3,1,2.4687976837158,-0.622171401977596,1.53919007554206
30.8449974060059,"KOF","gjb6","KO",3,2,3.2258815765381,0.7733669281006,0.585050502889265
29.9623336791992,"KOM","gjb6","KO",3,2,2.3212966918945,-0.769672393798899,1.70488259600502
30.5624542236328,"WTF","gjb6","WT",3,3,2.4525146484375,0,1
30.5603523254395,"WTM","gjb6","WT",3,3,3.0909690856934,0,1
